@relation spambase-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-weka.filters.unsupervised.attribute.Standardize

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute Class {1,0}

@data
-0.342542,-0.160423,-0.564314,-0.052135,1.450238,-0.340604,-0.312764,-0.276503,-0.325357,-0.3077,-0.300059,-0.630525,-0.336765,-0.191293,-0.180607,-0.310625,-0.321559,-0.331375,-0.198076,-0.187701,1.505985,-0.11076,-0.300273,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,-0.313313,-0.196693,-0.069425,-0.107794,-0.176102,0.465982,-0.162655,1.227189,-0.37494,-0.164142,-0.119307,-0.325694,-0.438086,1
-0.342542,0.279191,1.508685,-0.052135,3.398736,1.521381,2.549249,-0.276503,-0.325357,-0.3077,2.298566,0.519806,-0.336765,-0.191293,-0.180607,0.981383,1.835736,1.585082,1.423469,-0.187701,0.624747,-0.11076,1.25694,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,0.628743,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,-0.313313,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,0.768299,1.661164,3.60009,0.282295,-0.068117,-0.238587,-0.323473,1
-0.342542,-0.160423,1.094085,-0.052135,0.343137,-0.340604,-0.312764,1.151387,-0.325357,-0.3077,-0.300059,-0.630525,-0.336765,-0.191293,-0.180607,0.033911,-0.321559,-0.331375,-0.298723,-0.187701,-0.447704,-0.11076,-0.300273,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,0.576614,-0.118385,-0.187466,-0.210643,-0.134204,-0.313313,-0.196693,-0.069425,-0.107794,-0.176102,0.579887,-0.162655,-0.323183,-0.37494,-0.164142,-0.112333,-0.341532,-0.286501,1
1.480798,-0.160423,1.567913,-0.052135,0.313614,-0.340604,2.631021,-0.276503,-0.325357,-0.3077,-0.300059,-0.038926,-0.336765,-0.191293,-0.180607,0.353837,0.787907,-0.331375,1.484976,-0.187701,0.217382,-0.11076,4.551046,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,0.244775,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,-0.162655,1.506288,0.999144,-0.164142,0.003241,0.149438,-0.170039,1
4.249574,-0.160423,0.778199,-0.052135,-0.483498,-0.340604,1.54073,-0.276503,-0.325357,-0.3077,-0.300059,3.861244,1.960873,-0.191293,-0.180607,1.362833,-0.321559,-0.331375,0.595922,-0.187701,1.023798,-0.11076,3.772439,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,0.389465,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,-0.162655,2.354878,0.715603,-0.164142,-0.029644,-0.088128,-0.251378,1
0.940549,-0.160423,3.186827,-0.052135,1.199295,-0.340604,-0.312764,-0.276503,1.150698,0.186825,-0.300059,-0.630525,-0.336765,-0.191293,-0.180607,-0.310625,-0.321559,-0.331375,-0.718088,1.779923,-0.680484,-0.11076,-0.300273,-0.198017,-0.125045,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,-0.313313,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,-0.162655,1.228802,-0.05323,-0.164142,18.424284,8.931466,1.673012,1
-0.342542,-0.160423,-0.564314,-0.052135,-0.483498,-0.340604,-0.312764,-0.276503,-0.325357,-0.3077,-0.300059,-0.630525,-0.336765,-0.191293,-0.180607,-0.310625,-0.321559,2.223901,3.005873,-0.187701,-0.680484,-0.11076,-0.300273,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,-0.313313,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,-0.162655,0.478622,-0.37494,-0.164142,-0.006953,-0.270262,-0.412206,1
-0.342542,0.600447,-0.564314,-0.052135,-0.483498,-0.340604,-0.312764,-0.276503,-0.325357,-0.3077,-0.300059,-0.630525,-0.336765,-0.191293,-0.180607,0.796811,-0.321559,2.972232,1.09916,-0.187701,1.580807,-0.11076,-0.300273,-0.198017,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,0.616834,-0.196693,-0.069425,-0.107794,-0.176102,-0.592909,-0.162655,-0.123135,0.552022,-0.164142,0.033003,-0.064372,-0.330867,1
1.61586,-0.160423,0.106942,-0.052135,-0.321123,0.053277,-0.312764,-0.276503,-0.325357,-0.008382,0.849333,0.38834,2.805592,-0.191293,-0.180607,0.403056,0.150991,-0.130604,1.412286,-0.187701,0.574865,-0.11076,1.436619,0.724987,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,0.5829,-0.190367,-0.118385,-0.187466,-0.210643,-0.134204,-0.199629,-0.196693,-0.069425,0.208036,-0.176102,-0.065573,-0.162655,0.785148,0.192142,1.479336,0.093788,2.192507,2.009456,1
-0.072418,-0.09279,0.936142,-0.052135,0.771216,3.31175,0.368667,0.156963,1.966412,-0.20359,0.549492,0.015852,0.237644,-0.191293,7.828084,-0.003004,-0.157193,1.366058,-0.03033,0.252425,-0.331314,-0.11076,2.245172,-0.037495,-0.346832,-0.312857,-0.229352,-0.235757,-0.171745,-0.237511,-0.176739,-0.144002,-0.187843,-0.145095,-0.240927,-0.234223,-0.327201,-0.053305,-0.176515,0.02877,-0.118385,-0.187466,0.462598,-0.010427,-0.230634,-0.100353,-0.069425,-0.107794,-0.176102,-0.327132,-0.162655,0.238242,0.246669,-0.105271,0.073211,4.90868,2.101886,1
